what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1325238302051
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1325238302052
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1325238302052
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1325238302052
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1325238302053
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1325238302053
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1325238302054
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1325238302054
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1325238302055
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1325238302055
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1325238302062
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1325238302063
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1325238302064
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1325238302064
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1325238302065
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1325238302065
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1325238302066
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1325238302066
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1325238302066
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1325238302066
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1325238302068
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1325238302068
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1325238302069
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1325238302069
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1325238302070
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1325238302071
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1325238302071
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1325238302073
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1325238302074
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1325238302074
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1325238302075
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1325238302076
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1325238302076
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1325238302077
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1325238302078
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1325238302078
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1325238302079
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1325238302080
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1325238302081
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1325238302081
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1325238302081
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1325238302082
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1325238302083
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1325238302083
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1325238302084
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1325238302085
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1325238302085
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1325238302086
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1325238302086
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1325238302086
started,bundle,org.eclipse.update.ui,3.2.300.v20100512,"org.eclipse.update.ui",1325238302087
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1325238302087
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1325238302088
started,bundle,com.aptana.ide.core,2.0.5.1278523018,"com.aptana.ide.core",1325238302088
started,bundle,com.aptana.ide.core.ui,2.0.5.1278523018,"com.aptana.ide.core.ui",1325238302088
started,bundle,com.aptana.ide.debug.core,2.0.0.1278523018,"com.aptana.ide.debug.core",1325238302088
started,bundle,com.aptana.ide.debug.ui,2.0.0.1254164293,"com.aptana.ide.debug.ui",1325238302089
started,bundle,com.aptana.ide.desktop.integration.protocolhandler,2.0.0.1278523018,"com.aptana.ide.desktop.integration.protocolhandler",1325238302089
started,bundle,com.aptana.ide.desktop.integration.server,2.0.0.1278523018,"com.aptana.ide.desktop.integration.server",1325238302089
started,bundle,com.aptana.ide.editors,2.0.5.1278523018,"com.aptana.ide.editors",1325238302090
started,bundle,com.aptana.ide.epl,2.0.0.1278523018,"com.aptana.ide.epl",1325238302090
started,bundle,com.aptana.ide.installer,2.0.5.1278523018,"com.aptana.ide.installer",1325238302090
started,bundle,com.aptana.ide.intro,2.0.0.1278523018,"com.aptana.ide.intro",1325238302090
started,bundle,com.aptana.ide.scripting,2.0.0.1278523018,"com.aptana.ide.scripting",1325238302091
started,bundle,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal",1325238302091
started,bundle,com.aptana.ide.update,2.0.5.1278523018,"com.aptana.ide.update",1325238302091
started,bundle,com.aptana.ide.update.eclipse34,2.0.5.1278614541,"com.aptana.ide.update.eclipse34",1325238302091
started,bundle,com.aptana.ide.update.eclipse35,2.0.5.1278614541,"com.aptana.ide.update.eclipse35",1325238302092
started,bundle,com.aptana.ide.update.eclipse36,1.0.0.1278614541,"com.aptana.ide.update.eclipse36",1325238302092
os,sysinfo,,,"macosx",1325238302095
arch,sysinfo,,,"x86",1325238302095
ws,sysinfo,,,"cocoa",1325238302095
locale,sysinfo,,,"en_US",1325238302095
processors,sysinfo,,,"8",1325238302095
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325238302095
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1325238302095
java.specification.name,sysinfo,,,"Java Platform API Specification",1325238302095
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325238302095
java.specification.version,sysinfo,,,"1.6",1325238302095
java.vendor,sysinfo,,,"Apple Inc.",1325238302095
java.version,sysinfo,,,"1.6.0_29",1325238302095
java.vm.info,sysinfo,,,"mixed mode",1325238302095
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1325238302095
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325238302095
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325238302095
java.vm.specification.version,sysinfo,,,"1.0",1325238302095
java.vm.vendor,sysinfo,,,"Apple Inc.",1325238302095
java.vm.version,sysinfo,,,"20.4-b02-402",1325238302095
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1325238302097
started,bundle,com.aptana.ide.server.jetty,2.0.0.1278523018,"com.aptana.ide.server.jetty",1325238302110
started,bundle,com.aptana.ide.update.ui,2.0.0.1278614541,"com.aptana.ide.update.ui",1325238302111
started,bundle,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.intro",1325238302118
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1325238302140
started,bundle,org.eclipse.eclipsemonkey,2.0.5.1278445773,"org.eclipse.eclipsemonkey",1325238302231
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1277749615,"org.eclipse.eclipsemonkey.lang.javascript",1325238302237
started,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,"org.eclipse.eclipsemonkey.lang.ruby",1325238302240
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1325238302325
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1325238302363
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1277749615,"org.eclipse.eclipsemonkey.doms",1325238302455
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325238302470
started,bundle,com.aptana.ide.server.ui,2.0.0.1278523018,"com.aptana.ide.server.ui",1325238302506
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1325238303131
started,bundle,org.rubypeople.rdt.core,1.3.2.1271256971,"org.rubypeople.rdt.core",1325238303163
started,bundle,org.rubypeople.rdt.launching,1.3.0.1271861712,"org.rubypeople.rdt.launching",1325238303251
started,bundle,com.aptana.rdt,1.3.1.1263228620,"com.aptana.rdt",1325238303432
started,bundle,org.radrails.rails.core,1.3.1.1274114871,"org.radrails.rails.core",1325238303467
started,bundle,org.rubypeople.rdt.debug.ui,1.3.2.1260312246,"org.rubypeople.rdt.debug.ui",1325238303726
started,bundle,com.aptana.rdt.ui,1.3.2.1254332735,"com.aptana.rdt.ui",1325238303727
started,bundle,org.rubypeople.rdt.debug.core,1.3.2.1263228620,"org.rubypeople.rdt.debug.core",1325238303730
opened,editor,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.MyRadRailsEditor",1325238304953
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1325238305004
started,bundle,org.rubypeople.rdt.ui,1.2.4.1271774459,"org.rubypeople.rdt.ui",1325238305022
activated,editor,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.MyRadRailsEditor",1325238305022
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325238305068
started,bundle,org.rubypeople.rdt.testunit,1.2.4.1254241359,"org.rubypeople.rdt.testunit",1325238305380
started,bundle,org.radrails.rails.ui,1.3.1.1274114871,"org.radrails.rails.ui",1325238305387
started,bundle,org.radrails.server.ui,1.3.0.1274114871,"org.radrails.server.ui",1325238305394
started,bundle,com.aptana.ide.server,2.0.0.1278523018,"com.aptana.ide.server",1325238305404
started,bundle,com.aptana.ide.server.core,2.0.0.1278523018,"com.aptana.ide.server.core",1325238305415
started,bundle,org.radrails.server.core,1.2.2.1274114871,"org.radrails.server.core",1325238305518
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1325238305676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325238305704
started,bundle,org.radrails.db.core,2.0.0.1274114871,"org.radrails.db.core",1325238306389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325238351688
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1325238353727
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325238354681
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325238354705
closed,editor,com.aptana.radrails.intro,2.0.0.1278115714,"com.aptana.radrails.MyRadRailsEditor",1325238356450
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325238371906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325238390254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325238390576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1325238390628
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325238390688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325238393557
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1325238490844
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325238512568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325261816729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325261821700
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325330393250
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325330403408
started,bundle,com.aptana.ide.core.epl,2.0.0.1278614541,"com.aptana.ide.core.epl",1325330403542
started,bundle,com.aptana.ide.core.io,2.0.5.1278614541,"com.aptana.ide.core.io",1325330403561
started,bundle,com.aptana.ide.syncing.core,2.0.5.1278614541,"com.aptana.ide.syncing.core",1325330403567
started,bundle,com.aptana.ide.syncing.ui,2.0.5.1278614541,"com.aptana.ide.syncing.ui",1325330403578
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1325330403691
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1325330403745
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1325330403809
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1325330403891
error,log,,,"Resource '/F9Peer' is not open.",1325330403983
error,log,,,"Resource '/F9Peer' is not open.",1325330404018
error,log,,,"Resource '/F9Peer' is not open.",1325330404019
error,log,,,"Resource '/F9Peer' is not open.",1325330404020
error,log,,,"Resource '/F9Peer' is not open.",1325330404020
error,log,,,"Resource '/F9Peer' is not open.",1325330404020
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1325330409842
started,bundle,org.eclipse.ecf.presence,2.0.0.v20110829-0349,"org.eclipse.ecf.presence",1325330410402
started,bundle,org.eclipse.ecf.presence.ui,2.1.0.v20110829-0349,"org.eclipse.ecf.presence.ui",1325330410414
started,bundle,org.eclipse.ecf.docshare,2.1.0.v20110829-0349,"org.eclipse.ecf.docshare",1325330410423
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1325330410508
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1325330410511
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325330421310
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_out",1325330492192
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_out",1325330492935
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_out",1325330493727
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_in",1325330494560
no handler,command,org.eclipse.gef,,"org.eclipse.gef.zoom_out",1325330494895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325330820065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325330894144
